DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-23.3543,8.90723
,0.1,-23.95,8.8857
,0.2,-23.2561,8.44286
,0.3,-24.7304,8.43595
,0.4,-26.419,8.90941
,0.5,-28.6426,9.14789
,0.6,-30.9391,8.06605
,0.7,-33.5187,8.66323
,0.8,-37.3502,8.40927
,0.9,-38.7406,8.72188
,1,-40.3538,9.41864
,1.1,-41.5016,8.50132
,1.2,-42.6623,9.53154
,1.3,-44.0414,9.18151
,1.4,-44.8485,8.63021
,1.5,-46.2739,8.77772
,1.6,-46.5491,9.37076
,1.7,-48.0529,8.6319
,1.8,-50.2001,9.12644
,1.9,-50.139,8.31207
,2,-50.55,8.25519
,2.1,-52.6622,7.69061
,2.2,-54.8793,9.05926
,2.3,-52.9596,8.47247
,2.4,-48.9811,9.5449
,2.5,-47.0327,9.68984
,2.6,-44.8222,9.62219
,2.7,-44.2631,9.21089
,2.8,-42.1629,9.13789
,2.9,-41.3641,11.1545
,3,-41.2531,9.55278
,3.1,-38.3271,8.9832
,3.2,-39.7948,8.70006
,3.3,-37.0172,8.96087
,3.4,-36.4054,8.22439
,3.5,-33.6951,6.95994
,3.6,-31.5814,8.45533
,3.7,-31.1428,7.91972
,3.8,-29.3436,8.08232
,3.9,-28.7447,8.15418
,4,-26.9676,8.1468
,4.1,-24.2168,8.4196
,4.2,-24.2753,8.38086
,4.3,-23.0052,9.4385
,4.4,-21.6107,7.5144
,4.5,-23.0031,9.41827
,4.6,-21.9231,8.47946
,4.7,-23.3082,8.34381
,4.8,-24.6434,8.67564
,4.9,-27.3043,7.88423
,5,-30.5279,7.70116
,5.1,-32.312,8.38877
,5.2,-33.452,7.84684
,5.3,-35.3477,8.80207
,5.4,-35.6841,7.75492
,5.5,-37.5607,7.53613
,5.6,-38.0521,7.91044
,5.7,-37.1234,8.53498
,5.8,-38.3451,7.20204
,5.9,-35.7579,7.86131
,6,-37.726,7.96931
,6.1,-36.4572,7.22237
,6.2,-36.6007,6.91988
,6.3,-37.4672,8.09605
,6.4,-35.7602,7.94341
,6.5,-32.7503,6.68971
,6.6,-37.3095,7.00343
,6.7,-32.2165,7.83936
,6.8,-31.3671,7.62154
,6.9,-33.2986,6.81751
,7,-28.3522,6.88441
,7.1,-27.6414,7.80412
,7.2,-27.772,8.8079
,7.3,-23.6539,8.81925
,7.4,-23.508,8.15948
,7.5,-26.9635,8.69242
,7.6,-22.8662,7.66026
,7.7,-19.8595,8.28089
,7.8,-24.9092,8.70907
,7.9,-23.8724,8.27161
,8,-20.4116,7.6007
,8.1,-21.164,7.75038
,8.2,-23.7575,9.23571
,8.3,-22.7265,8.40065
,8.4,-21.4443,8.81768
,8.5,-19.7068,7.64476
,8.6,-23.4997,9.43536
,8.7,-24.1624,9.36096
,8.8,-24.2764,8.78371
,8.9,-24.9619,8.60863
,9,-22.1941,8.56814
,9.1,-24.0249,8.49971
,9.2,-26.7418,9.68789
,9.3,-30.0568,7.43248
,9.4,-32.7582,6.72236
,9.5,-35.2359,7.89108
,9.6,-38.1798,8.14196
,9.7,-40.9492,7.26032
,9.8,-42.0698,7.65399
