DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-15.8561,8.18213
,0.1,-16.7358,7.55909
,0.2,-15.7799,7.92504
,0.3,-15.6453,9.57843
,0.4,-16.7368,7.63145
,0.5,-15.4579,6.89059
,0.6,-13.6863,7.46168
,0.7,-12.0886,7.79783
,0.8,-12.707,7.76038
,0.9,-11.1362,6.38819
,1,-9.47998,7.93693
,1.1,-10.2276,7.54989
,1.2,-8.36602,7.7172
,1.3,-8.53494,8.97118
,1.4,-8.2256,8.8066
,1.5,-8.38835,8.86231
,1.6,-8.00814,7.89551
,1.7,-7.45393,7.87545
,1.8,-8.71841,7.92371
,1.9,-8.09723,8.57349
,2,-7.76351,8.09487
,2.1,-9.41629,7.76665
,2.2,-8.50894,8.53169
,2.3,-9.29636,7.89706
,2.4,-10.6117,8.09563
,2.5,-11.1363,7.34755
,2.6,-11.0124,8.93072
,2.7,-11.6557,7.59659
,2.8,-12.3736,7.97639
,2.9,-12.5275,7.34118
,3,-14.0256,7.60051
,3.1,-13.7537,7.32789
,3.2,-12.7467,7.51617
,3.3,-13.5165,7.56605
,3.4,-15.0171,7.75159
,3.5,-15.2765,7.18023
,3.6,-16.0189,8.68568
,3.7,-15.9391,7.18856
,3.8,-16.1258,8.20098
,3.9,-15.5312,7.75034
,4,-15.4031,7.35523
,4.1,-15.7656,7.77801
,4.2,-15.3042,6.86524
,4.3,-15.5997,8.21666
,4.4,-15.1867,8.42525
,4.5,-14.0179,7.56835
,4.6,-15.0244,8.44938
,4.7,-14.9231,7.93648
,4.8,-12.7425,6.77146
,4.9,-9.45622,7.70473
,5,-10.852,9.19597
,5.1,-8.33743,9.02904
,5.2,-7.28377,7.54856
,5.3,-3.97827,8.30757
,5.4,-4.30015,9.09775
,5.5,-1.73641,10.2962
,5.6,-3.06726,9.44766
,5.7,-1.02715,9.41324
,5.8,-1.58566,9.58413
,5.9,0.30509,9.62726
,6,1.58949,9.70884
,6.1,1.55286,8.91082
,6.2,0.91994,10.3302
,6.3,1.12425,9.49811
,6.4,1.48656,9.1831
,6.5,1.62549,9.40119
,6.6,0.53719,9.50672
,6.7,0.48288,10.0068
,6.8,-0.21554,9.09179
,6.9,-1.97375,9.62434
,7,-2.42198,9.06734
,7.1,-2.71012,11.3445
,7.2,-3.1762,10.7408
,7.3,-3.62425,10.5521
,7.4,-5.44733,10.862
,7.5,-6.30049,9.76938
,7.6,-8.90325,8.34602
,7.7,-9.44618,9.25164
,7.8,-8.46261,7.80196
,7.9,-9.264,8.99796
,8,-10.2117,8.70389
,8.1,-10.2648,7.71632
,8.2,-13.4916,7.98809
,8.3,-13.5506,7.89147
,8.4,-12.5464,7.67593
,8.5,-15.6371,8.68976
,8.6,-15.0264,8.13616
,8.7,-15.7502,6.98318
,8.8,-15.1288,8.84506
,8.9,-16.2642,7.91932
,9,-16.4362,7.92682
,9.1,-16.9708,9.34128
,9.2,-16.5625,8.66181
,9.3,-17.0543,8.26763
,9.4,-15.8153,8.29419
,9.5,-15.4564,8.81165
,9.6,-14.5826,7.61284
,9.7,-12.1081,7.77623
,9.8,-12.5154,7.82114
,9.9,-10.3463,7.56482
