DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,-1.35407,-0.1236
,0.1,-0.82383,-0.13751
,0.2,-0.79838,0.18209
,0.3,-1.12085,1.25016
,0.4,-1.14368,0.18383
,0.5,-0.44985,3.58464
,0.6,7.1292e-2,4.88892
,0.7,0.10398,5.31766
,0.8,1.01336,8.44018
,0.9,-1.41026,10.4126
,1,-1.91468,11.9846
,1.1,-2.1565,12.2331
,1.2,-4.35485,12.9222
,1.3,-3.0362,13.86
,1.4,-3.50249,13.8038
,1.5,-3.60871,15.1837
,1.6,-2.96173,14.2626
,1.7,-2.05581,13.8982
,1.8,-1.95507,13.9517
,1.9,-2.16803,13.7454
,2,-2.58601,14.2867
,2.1,-3.40745,13.5927
,2.2,-3.48345,12.5611
,2.3,-1.75888,12.6951
,2.4,-1.57774,11.8246
,2.5,-1.32854,12.2514
,2.6,-1.25818,11.8333
,2.7,-0.45145,10.4451
,2.8,1.35888,6.22026
,2.9,3.4891,5.28853
,3,3.38811,3.93468
,3.1,2.49071,4.16678
,3.2,2.05618,4.28216
,3.3,1.73592,2.79647
,3.4,1.65635,1.65282
,3.5,1.64043,0.28897
,3.6,0.72127,-0.69256
,3.7,1.14663,-1.90704
,3.8,1.50896,-2.19864
,3.9,1.7447,-2.61955
,4,2.59673,-3.03423
,4.1,2.88391,-3.69277
,4.2,2.29549,-3.24122
,4.3,1.05733,-1.80177
,4.4,1.91397,-0.42282
,4.5,1.50299,0.90571
,4.6,2.35973,1.86759
,4.7,2.91916,2.84107
,4.8,2.91508,4.3409
,4.9,2.16126,3.68639
,5,2.62911,4.40788
,5.1,2.66037,5.43879
,5.2,2.30646,6.4564
,5.3,1.81579,5.28353
,5.4,1.5693,7.42158
,5.5,1.34054,7.85268
,5.6,0.93342,7.73599
,5.7,2.03174,9.60097
,5.8,0.86021,9.30253
,5.9,1.86348,8.13682
,6,1.46757,8.48757
,6.1,1.24508,7.29633
,6.2,1.85533,8.39356
,6.3,1.04793,9.55131
,6.4,1.92541,8.59945
,6.5,1.3146,7.94972
,6.6,1.37579,9.06174
,6.7,0.71332,8.69123
,6.8,2.14185,8.50295
,6.9,1.53286,8.22077
,7,2.05866,7.43477
,7.1,4.24943,5.22472
,7.2,5.42786,3.32269
,7.3,4.77207,3.64301
,7.4,5.14849,3.16406
,7.5,3.81037,3.54428
,7.6,4.76908,4.32845
,7.7,4.94217,2.63995
,7.8,4.6776,1.33885
,7.9,4.47969,2.57345
,8,4.08909,2.23705
,8.1,5.18158,1.91819
,8.2,4.8244,2.34576
,8.3,2.64888,2.76125
,8.4,1.74017,1.89079
,8.5,0.5197,0.93038
,8.6,-1.18898,0.63663
,8.7,0.16964,1.2972
,8.8,0.86212,1.52378
,8.9,0.93182,1.99311
,9,0.41323,0.61993
,9.1,2.3694,2.25607
,9.2,1.10533,5.38433
,9.3,1.92635,5.28769
,9.4,2.18202,6.93606
,9.5,-0.39427,9.10006
,9.6,-1.11647,11.3819
,9.7,-3.20042,10.9908
,9.8,-3.45589,13.4427
,9.9,-2.09763,12.4732
,10,-3.76149,11.8459
,10.1,-3.44175,14.0333
