DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,4.38083,-24.6452
,0.1,5.03413,-25.3834
,0.2,5.64937,-24.4534
,0.3,4.28977,-23.4506
,0.4,6.23803,-24.7339
,0.5,2.44366,-24.9348
,0.6,0.95241,-26.5322
,0.7,-2.25439,-28.1933
,0.8,-5.3614,-28.6156
,0.9,-6.49548,-28.636
,1,-8.93717,-29.4653
,1.1,-12.4468,-29.6421
,1.2,-12.8581,-30.4139
,1.3,-13.2598,-29.8073
,1.4,-12.4248,-29.9494
,1.5,-14.2814,-29.0806
,1.6,-12.5172,-28.6211
,1.7,-15.0313,-31.3966
,1.8,-13.7073,-30.5276
,1.9,-14.6649,-29.6864
,2,-15.9581,-29.6423
,2.1,-15.0006,-31.2857
,2.2,-13.5329,-31.0741
,2.3,-13.2249,-31.4286
,2.4,-12.7344,-30.6041
,2.5,-12.1141,-30.6511
,2.6,-12.9099,-30.7564
,2.7,-10.3683,-30.5553
,2.8,-8.3309,-30.5246
,2.9,-8.66357,-30.4488
,3,-8.51646,-30.0852
,3.1,-5.74309,-29.514
,3.2,-1.16576,-27.3594
,3.3,0.66878,-26.1949
,3.4,2.1503,-29.9617
,3.5,3.69797,-26.5783
,3.6,4.88068,-27.0686
,3.7,5.69195,-25.3324
,3.8,7.73258,-25.6999
,3.9,6.363,-26.0446
,4,6.14012,-27.1377
,4.1,6.53981,-26.3175
,4.2,6.43855,-26.0239
,4.3,7.17851,-25.8889
,4.4,5.46538,-26.1132
,4.5,6.89026,-26.8641
,4.6,5.18589,-25.5374
,4.7,5.67082,-25.4887
,4.8,5.03552,-22.9179
,4.9,-1.43936,-29.7154
,5,-1.3293,-29.7417
,5.1,-0.94755,-30.4619
,5.2,-5.34932,-29.4928
,5.3,-7.30304,-29.1774
,5.4,-11.5094,-30.3996
,5.5,-13.2342,-31.7604
,5.6,-16.4103,-30.9654
,5.7,-16.0977,-28.3271
,5.8,-17.1322,-30.7579
,5.9,-20.6458,-32.3674
,6,-20.4506,-31.113
,6.1,-21.3721,-32.6737
,6.2,-22.7359,-32.5483
,6.3,-23.137,-33.0813
,6.4,-25.3348,-32.1777
,6.5,-22.1422,-33.2968
,6.6,-24.2604,-33.5497
,6.7,-23.2439,-32.3918
,6.8,-24.7793,-31.736
,6.9,-25.2095,-33.4181
,7,-25.9651,-32.6984
,7.1,-25.6428,-36.5623
,7.2,-23.8349,-32.6501
,7.3,-20.3919,-33.3701
,7.4,-20.8032,-33.7119
,7.5,-21.114,-32.7922
,7.6,-18.947,-32.8026
,7.7,-13.7284,-30.8139
,7.8,-8.17411,-28.8208
,7.9,-6.38419,-29.3332
,8,-1.45218,-28.4126
,8.1,3.07324,-25.7553
,8.2,0.70301,-27.6491
,8.3,0.73504,-27.6889
,8.4,5.15719,-25.4725
,8.5,7.80248,-25.361
,8.6,8.6593,-26.0703
,8.7,7.34092,-25.6202
,8.8,4.80978,-27.0537
,8.9,3.22747,-28.3625
,9,3.6115,-26.4057
,9.1,5.69556,-25.7404
,9.2,5.90899,-25.9593
,9.3,7.93411,-25.5163
,9.4,7.02538,-26.0067
,9.5,6.16265,-25.5837
