DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,0.56306,-1.69465
,0.1,7.8093e-2,-1.11479
,0.2,-0.87744,-0.90665
,0.3,-1.64908,-0.41564
,0.4,-2.52358,-1.63361
,0.5,-1.44509,-0.70234
,0.6,-0.71678,-1.57344
,0.7,-1.20932,-0.45976
,0.8,-4.7835,-7.3888e-2
,0.9,-7.23576,0.16754
,1,-6.13135,0.33727
,1.1,-6.38276,0.36573
,1.2,-7.52173,7.4633e-2
,1.3,-8.93158,0.65938
,1.4,-10.2794,1.27803
,1.5,-9.2436,1.06687
,1.6,-9.01834,-0.18446
,1.7,-7.93868,1.40403
,1.8,-9.41179,0.6187
,1.9,-9.30472,0.33534
,2,-9.17255,-8.237e-3
,2.1,-11.3393,0.37059
,2.2,-12.1152,-0.68324
,2.3,-11.9044,0.19636
,2.4,-11.3492,-0.52127
,2.5,-10.8295,0.04598
,2.6,-12.0573,9.3202e-2
,2.7,-11.7651,-0.30337
,2.8,-9.50195,7.9957e-2
,2.9,-5.82496,0.23774
,3,-3.78347,0.29591
,3.1,-3.08637,-0.8588
,3.2,-3.24701,0.45362
,3.3,-2.77847,0.27947
,3.4,-0.79064,-0.60327
,3.5,-0.43058,-0.91784
,3.6,-0.56184,-1.5102
,3.7,-1.13272,-0.89835
,3.8,0.80537,-0.88392
,3.9,-1.22451,-0.62296
,4,-0.42505,0.14313
,4.1,1.50257,-1.22467
,4.2,0.5713,-0.25109
,4.3,1.55304,-0.79968
,4.4,0.61129,-1.18131
,4.5,-0.49298,0.50203
,4.6,-0.10861,-1.65906
,4.7,-0.40366,-0.85115
,4.8,0.59221,-0.49432
,4.9,-2.0818,-1.15149
,5,-4.61189,-0.371
,5.1,-4.46553,-0.66419
,5.2,-6.06958,0.62881
,5.3,-8.76107,1.03128
,5.4,-9.50896,0.89207
,5.5,-9.88019,1.87056
,5.6,-12.4775,1.44133
,5.7,-12.548,0.57305
,5.8,-14.5619,1.67934
,5.9,-15.5804,2.10726
,6,-16.8736,1.37517
,6.1,-16.6719,1.67507
,6.2,-18.3294,1.0632
,6.3,-18.8175,1.63798
,6.4,-19.0357,1.76494
,6.5,-20.2417,2.26198
,6.6,-21.8407,1.91034
,6.7,-23.1486,1.21753
,6.8,-22.8244,1.581
,6.9,-22.7412,2.54762
,7,-22.348,2.00617
,7.1,-22.483,0.33192
,7.2,-22.2283,1.66736
,7.3,-22.3724,1.8036
,7.4,-21.1271,2.48631
,7.5,-16.4426,2.47334
,7.6,-13.0473,3.87659
,7.7,-13.0337,4.15076
,7.8,-12.0854,3.83052
,7.9,-11.2172,3.46301
,8,-11.0389,3.55957
,8.1,-10.5987,2.51372
,8.2,-8.73718,2.92178
,8.3,-8.00303,2.45063
,8.4,-5.21985,2.15327
,8.5,-3.31302,0.59273
,8.6,-0.65215,0.4994
,8.7,1.32203,-4.1746e-2
,8.8,2.12877,-2.8879e-2
,8.9,2.32679,-1.0935e-2
,9,5.07475,-0.72384
,9.1,3.89748,1.7264e-2
,9.2,4.47721,-0.99906
,9.3,3.8645,-1.59829
,9.4,1.69905,-8.8225e-2
,9.5,0.5073,-1.03333
