DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,18.6,3.14147,-3.70095
,18.7,2.34634,-4.81349
,18.8,2.85062,-4.35076
,18.9,2.47206,-4.21513
,19,2.88995,-4.53405
,19.1,2.03176,-4.19749
,19.2,2.30712,-2.54431
,19.3,0.84796,-4.42904
,19.4,-1.50385,-3.31141
,19.5,-2.48992,-2.72789
,19.6,-4.64323,-2.58426
,19.7,-6.77635,-3.29097
,19.8,-8.89151,-1.92158
,19.9,-11.4255,-2.69182
,20,-13.7926,-2.25751
,20.1,-13.6027,-1.84119
,20.2,-13.5198,-2.55257
,20.3,-11.9124,-2.4844
,20.4,-12.7297,-1.63208
,20.5,-12.5596,-1.45255
,20.6,-11.6806,-1.67921
,20.7,-12.7973,-2.04134
,20.8,-13.116,-2.1042
,20.9,-12.9551,-2.72311
,21,-13.6414,-1.95523
,21.1,-12.2744,-1.6948
,21.2,-12.9701,-2.37231
,21.3,-12.2026,-2.51368
,21.4,-13.5517,-4.26095
,21.5,-12.7383,-1.86122
,21.6,-13.0851,-2.24552
,21.7,-12.917,-3.00118
,21.8,-11.9987,-1.15347
,21.9,-11.7133,-3.38516
,22,-9.06789,-2.86434
,22.1,-6.78722,-2.93266
,22.2,-4.07937,-3.48924
,22.3,-3.32771,-3.65337
,22.4,-2.7947,-5.39693
,22.5,-0.63094,-4.42424
,22.6,0.30225,-4.93148
,22.7,1.81628,-6.21867
,22.8,0.85637,-5.5891
,22.9,1.68712,-7.30623
,23,2.17098,-5.8444
,23.1,2.06,-5.94689
,23.2,2.62628,-5.90449
,23.3,1.58718,-5.72969
,23.4,1.8916,-8.59856
,23.5,1.58328,-5.00498
,23.6,1.74546,-4.96786
,23.7,2.5895,-7.65021
,23.8,2.64681,-5.25423
,23.9,1.48127,-5.55664
,24,1.81056,-6.63688
,24.1,0.62827,-4.41659
,24.2,-0.68958,-4.39594
,24.3,-4.70761,-2.34008
,24.4,-7.24729,-3.27415
,24.5,-9.20632,-6.22398
,24.6,-12.9128,-2.89595
,24.7,-15.562,-1.77298
,24.8,-17.6844,-1.74566
,24.9,-22.3566,-2.03876
,25,-25.2072,-1.93755
,25.1,-27.2494,-1.96497
,25.2,-29.3109,-3.50927
,25.3,-30.1475,-3.75371
,25.4,-30.4954,-2.98423
,25.5,-30.4963,-6.84472
,25.6,-30.1664,-2.37182
,25.7,-31.4101,-3.37562
,25.8,-31.3018,-2.91141
,25.9,-31.3519,-3.11819
,26,-32.3488,-4.572
,26.1,-32.526,-4.36988
,26.2,-32.4086,-3.68077
,26.3,-30.9497,-3.31577
,26.4,-31.2183,-1.60817
,26.5,-27.533,-5.07969
,26.6,-25.8921,-5.04947
,26.7,-23.311,-4.55562
,26.8,-20.1906,-4.82857
,26.9,-13.4637,-3.18873
,27,-8.68168,-3.0738
,27.1,-6.3545,-3.30009
,27.2,-4.12778,-4.64175
,27.3,-3.62735,-5.4493
,27.4,-1.27834,-5.78773
,27.5,-0.63999,-6.4727
,27.6,1.09502,-5.63551
,27.7,2.35061,-5.76804
,27.8,1.97615,-5.85913
,27.9,2.57137,-5.66075
,28,2.63142,-5.39222
,28.1,3.54997,-6.5389
,28.2,2.1106,-5.68175
,28.3,3.43042,-6.71327
,28.4,2.10757,-6.16336
,28.5,2.67171,-6.1755
,28.6,3.26298,-5.34288
,28.7,1.48483,-5.88765
,28.8,3.503,-6.20323
,28.9,-0.83697,-4.87682
,29,-3.79762,-3.48521
,29.1,-11.1966,-3.26667
,29.2,-16.9361,-3.00724
,29.3,-21.9958,-4.9327
,29.4,-28.8071,-7.92365
,29.5,-33.6382,-9.05036
,29.6,-37.0144,-8.0591
,29.7,-40.419,-8.22878
,29.8,-43.4683,-8.26679
,29.9,-45.6932,-9.51192
,30,-46.7211,-10.1649
,30.1,-46.2272,-10.2187
,30.2,-45.907,-10.8232
