DataTypeVer2.0,Time,GonioMeter,GonioMeter
NumberOfData,,480,480
PreTriggerData,,0,0
SamplingTime[ms],,100.000,100.000
DataLabel,,GonioCh1[1],GonioCh2[1]
DataUnit,sec,deg,deg
,0,4.72142,-20.377
,0.1,5.91312,-22.4511
,0.2,6.34148,-19.9487
,0.3,12.0393,-17.0461
,0.4,14.8786,-15.4374
,0.5,17.8523,-14.5352
,0.6,17.7176,-13.7339
,0.7,18.4236,-12.8797
,0.8,20.1138,-11.8742
,0.9,19.5478,-12.3224
,1,20.5673,-11.5597
,1.1,21.8223,-13.5103
,1.2,21.2952,-12.7779
,1.3,20.656,-12.8347
,1.4,20.7663,-14.159
,1.5,21.228,-11.8572
,1.6,21.734,-12.983
,1.7,20.113,-13.3374
,1.8,20.6382,-12.8721
,1.9,18.2496,-13.361
,2,15.4395,-14.3416
,2.1,13.6144,-13.3097
,2.2,10.6927,-15.7446
,2.3,11.2803,-18.1855
,2.4,9.35063,-20.4247
,2.5,6.38708,-20.2721
,2.6,3.49871,-20.702
,2.7,0.64997,-20.1513
,2.8,-1.25839,-21.1598
,2.9,-1.01038,-20.7963
,3,-2.22356,-21.7704
,3.1,-2.1529,-22.4721
,3.2,-1.59202,-23.6392
,3.3,-2.63721,-22.3978
,3.4,-2.96986,-22.7593
,3.5,-1.22239,-22.8257
,3.6,-0.34693,-22.4486
,3.7,-0.38325,-22.962
,3.8,-1.86844,-22.6027
,3.9,-1.44482,-23.6493
,4,0.13124,-22.3269
,4.1,1.43404,-23.8635
,4.2,-0.55863,-22.9155
,4.3,0.12384,-24.0367
,4.4,4.84423,-21.1813
,4.5,12.7705,-17.3378
,4.6,15.5799,-15.4426
,4.7,17.7517,-12.6745
,4.8,18.9391,-11.6679
,4.9,17.9282,-8.90386
,5,18.9158,-11.5369
,5.1,18.6046,-12.7834
,5.2,19.3417,-13.5061
,5.3,18.0977,-12.8018
,5.4,18.2562,-13.9676
,5.5,18.4361,-15.208
,5.6,18.1821,-13.365
,5.7,17.7415,-13.5239
,5.8,18.1229,-13.2077
,5.9,17.3298,-13.3167
,6,19.5158,-14.3647
,6.1,17.7053,-13.7282
,6.2,17.203,-13.4835
,6.3,16.5413,-14.378
,6.4,15.482,-13.5035
,6.5,13.2479,-11.025
,6.6,9.38606,-17.3451
,6.7,6.87363,-19.2878
,6.8,6.37821,-21.1747
,6.9,6.70456,-20.397
,7,5.93055,-20.4058
,7.1,5.57591,-21.8617
,7.2,5.49974,-20.493
,7.3,5.81008,-21.5475
,7.4,6.5269,-21.1698
,7.5,5.8651,-20.871
,7.6,5.15893,-21.02
,7.7,5.91944,-20.0618
,7.8,5.9173,-20.6384
,7.9,5.03163,-21.0708
,8,6.42343,-21.4381
,8.1,5.4462,-18.4023
,8.2,5.85191,-20.5331
,8.3,4.93774,-20.6854
,8.4,3.9522,-22.0938
,8.5,3.87718,-21.5248
,8.6,3.27333,-22.5178
,8.7,4.47348,-22.5523
,8.8,4.33423,-22.1896
,8.9,0.80721,-22.3256
,9,3.43733,-21.9071
,9.1,5.84626,-21.9439
,9.2,3.94722,-20.8586
,9.3,7.77533,-20.3665
,9.4,5.23338,-20.4141
,9.5,10.609,-17.769
,9.6,6.52513,-19.9197
,9.7,12.0482,-19.8172
,9.8,8.5957,-18.65
